ObjectId,mode,season,route_id,route_name,direction_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,stop_id,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,easting,northing
5511,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_08,LATE_EVENING,Harvard,place-harsq,41924,4848,77,544,63,963,759116.13,2961355.2
5514,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_06,PM_PEAK,Central,place-cntsq,134531,278212,77,1747,3613,15604,763303.65,2958426.04
5517,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_06,PM_PEAK,Davis,place-davis,6465,403390,77,84,5239,5312,758156.45,2969832.48
5518,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_08,LATE_EVENING,Kendall/MIT,place-knncl,22520,4825,77,292,63,1461,768015.16,2957375.19
5524,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_06,PM_PEAK,Harvard,place-harsq,106292,227207,77,1380,2951,14034,759116.13,2961355.2
5525,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_08,LATE_EVENING,Porter,place-portr,13569,1169,77,176,15,481,759062.42,2966679.98999999
5528,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_06,PM_PEAK,Kendall/MIT,place-knncl,268943,98205,77,3493,1275,17470,768015.16,2957375.19
5533,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_06,PM_PEAK,Porter,place-portr,14448,289150,77,188,3755,10466,759062.42,2966679.98999999
5542,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Alewife,place-alfcl,0,25144,77,0,327,0,752981.59,2969782.02
5543,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_09,NIGHT,Alewife,place-alfcl,603,0,77,8,0,8,752981.59,2969782.02
5551,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_07,EVENING,Alewife,place-alfcl,0,165086,77,0,2144,0,752981.59,2969782.02
5557,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_07,EVENING,Central,place-cntsq,79696,162964,77,1035,2116,7788,763303.65,2958426.04
5558,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_07,EVENING,Davis,place-davis,6037,229692,77,78,2983,2144,758156.45,2969832.48
5561,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_07,EVENING,Harvard,place-harsq,70628,140972,77,917,1831,6874,759116.13,2961355.2
5563,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_07,EVENING,Kendall/MIT,place-knncl,116818,61766,77,1517,802,8869,768015.16,2957375.19
5566,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_07,EVENING,Porter,place-portr,12196,152783,77,158,1984,5049,759062.42,2966679.98999999
5570,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_09,NIGHT,Central,place-cntsq,3672,904,77,48,12,142,763303.65,2958426.04
5571,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_09,NIGHT,Davis,place-davis,1729,39,77,22,1,30,758156.45,2969832.48
5577,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_09,NIGHT,Harvard,place-harsq,5108,374,77,66,5,106,759116.13,2961355.2
5578,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Central,place-cntsq,4272,36905,77,55,479,945,763303.65,2958426.04
5580,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Davis,place-davis,3082,9795,77,40,127,327,758156.45,2969832.48
5581,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_09,NIGHT,Kendall/MIT,place-knncl,3190,502,77,41,7,177,768015.16,2957375.19
5585,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Harvard,place-harsq,2670,36096,77,35,469,511,759116.13,2961355.2
5587,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Kendall/MIT,place-knncl,1439,85225,77,19,1107,1369,768015.16,2957375.19
5590,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Porter,place-portr,1744,9205,77,23,120,414,759062.42,2966679.98999999
5597,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Alewife,place-alfcl,0,96646,77,0,1255,0,752981.59,2969782.02
